web-scraper-order,web-scraper-start-url,pagination,url,url-href
"1724168241-47","https://www.tripadvisor.com.vn/Attractions-g293924-Activities-c49-Hanoi.html","https://www.tripadvisor.com.vn/Attractions-g293924-Activities-c49-oa30-Hanoi.html","47. Blue Gallery","https://www.tripadvisor.com.vn/Attraction_Review-g293924-d8861380-Reviews-Blue_Gallery-Hanoi.html"
"1724168241-48","https://www.tripadvisor.com.vn/Attractions-g293924-Activities-c49-Hanoi.html","https://www.tripadvisor.com.vn/Attractions-g293924-Activities-c49-oa30-Hanoi.html","48. D&C Art Gallery","https://www.tripadvisor.com.vn/Attraction_Review-g293924-d7945909-Reviews-D_C_Art_Gallery-Hanoi.html"
"1724168241-49","https://www.tripadvisor.com.vn/Attractions-g293924-Activities-c49-Hanoi.html","https://www.tripadvisor.com.vn/Attractions-g293924-Activities-c49-oa30-Hanoi.html","49. Vụn Art","https://www.tripadvisor.com.vn/Attraction_Review-g293924-d17789496-Reviews-Vun_Art-Hanoi.html"
"1724168241-50","https://www.tripadvisor.com.vn/Attractions-g293924-Activities-c49-Hanoi.html","https://www.tripadvisor.com.vn/Attractions-g293924-Activities-c49-oa30-Hanoi.html","50. Inkonic Tattoo Studio","https://www.tripadvisor.com.vn/Attraction_Review-g293924-d26702042-Reviews-Inkonic_Tattoo_Studio-Hanoi.html"
"1724168241-51","https://www.tripadvisor.com.vn/Attractions-g293924-Activities-c49-Hanoi.html","https://www.tripadvisor.com.vn/Attractions-g293924-Activities-c49-oa30-Hanoi.html","51. La Ba Quan - Vietnamese Artist","https://www.tripadvisor.com.vn/Attraction_Review-g293924-d12351120-Reviews-La_Ba_Quan_Vietnamese_Artist-Hanoi.html"
"1724168241-52","https://www.tripadvisor.com.vn/Attractions-g293924-Activities-c49-Hanoi.html","https://www.tripadvisor.com.vn/Attractions-g293924-Activities-c49-oa30-Hanoi.html","52. Phòng Tranh Viet Fine Arts","https://www.tripadvisor.com.vn/Attraction_Review-g293924-d8532671-Reviews-Viet_Fine_Arts_Gallery-Hanoi.html"
"1724168241-53","https://www.tripadvisor.com.vn/Attractions-g293924-Activities-c49-Hanoi.html","https://www.tripadvisor.com.vn/Attractions-g293924-Activities-c49-oa30-Hanoi.html","53. Bảo Tàng Đá Quý Doji","https://www.tripadvisor.com.vn/Attraction_Review-g293924-d8012559-Reviews-Gems_Garden-Hanoi.html"
"1724168241-54","https://www.tripadvisor.com.vn/Attractions-g293924-Activities-c49-Hanoi.html","https://www.tripadvisor.com.vn/Attractions-g293924-Activities-c49-oa30-Hanoi.html","54. Bảo Tàng Công An Nhân Dân","https://www.tripadvisor.com.vn/Attraction_Review-g293924-d12194087-Reviews-Museum_of_People_s_Public_Security-Hanoi.html"
"1724168241-55","https://www.tripadvisor.com.vn/Attractions-g293924-Activities-c49-Hanoi.html","https://www.tripadvisor.com.vn/Attractions-g293924-Activities-c49-oa30-Hanoi.html","55. Duong Vietnam Fine Art","https://www.tripadvisor.com.vn/Attraction_Review-g293924-d2482949-Reviews-Duong_Vietnam_Fine_Art-Hanoi.html"
"1724168241-56","https://www.tripadvisor.com.vn/Attractions-g293924-Activities-c49-Hanoi.html","https://www.tripadvisor.com.vn/Attractions-g293924-Activities-c49-oa30-Hanoi.html","56. Bảo tàng Nhiếp ảnh Lai Xá","https://www.tripadvisor.com.vn/Attraction_Review-g293924-d13978987-Reviews-Lai_Xa_Photography_Museum-Hanoi.html"
"1724168241-57","https://www.tripadvisor.com.vn/Attractions-g293924-Activities-c49-Hanoi.html","https://www.tripadvisor.com.vn/Attractions-g293924-Activities-c49-oa30-Hanoi.html","57. Minh Hiền Art Gallery","https://www.tripadvisor.com.vn/Attraction_Review-g293924-d26811584-Reviews-Minh_Hi_n_Art_Gallery-Hanoi.html"
"1724168241-58","https://www.tripadvisor.com.vn/Attractions-g293924-Activities-c49-Hanoi.html","https://www.tripadvisor.com.vn/Attractions-g293924-Activities-c49-oa30-Hanoi.html","58. Hai Pottery","https://www.tripadvisor.com.vn/Attraction_Review-g293924-d14504631-Reviews-Hai_Pottery-Hanoi.html"
"1724168241-59","https://www.tripadvisor.com.vn/Attractions-g293924-Activities-c49-Hanoi.html","https://www.tripadvisor.com.vn/Attractions-g293924-Activities-c49-oa30-Hanoi.html","59. Anh Phong Gallery","https://www.tripadvisor.com.vn/Attraction_Review-g293924-d10920159-Reviews-Anh_Phong_Gallery-Hanoi.html"
"1724168241-60","https://www.tripadvisor.com.vn/Attractions-g293924-Activities-c49-Hanoi.html","https://www.tripadvisor.com.vn/Attractions-g293924-Activities-c49-oa30-Hanoi.html","60. Hanoi Art Gallery","https://www.tripadvisor.com.vn/Attraction_Review-g293924-d5029840-Reviews-Hanoi_Art_Gallery-Hanoi.html"
"1724168244-61","https://www.tripadvisor.com.vn/Attractions-g293924-Activities-c49-Hanoi.html","https://www.tripadvisor.com.vn/Attractions-g293924-Activities-c49-oa60-Hanoi.html","61. Gemstone Painting Vietnam","https://www.tripadvisor.com.vn/Attraction_Review-g293924-d14436317-Reviews-Gemstone_Painting_Vietnam-Hanoi.html"
"1724168244-62","https://www.tripadvisor.com.vn/Attractions-g293924-Activities-c49-Hanoi.html","https://www.tripadvisor.com.vn/Attractions-g293924-Activities-c49-oa60-Hanoi.html","62. The Today Gallery","https://www.tripadvisor.com.vn/Attraction_Review-g293924-d27469639-Reviews-The_Today_Gallery-Hanoi.html"
"1724168244-63","https://www.tripadvisor.com.vn/Attractions-g293924-Activities-c49-Hanoi.html","https://www.tripadvisor.com.vn/Attractions-g293924-Activities-c49-oa60-Hanoi.html","63. Cửa Hàng Huy Hùng Gallery","https://www.tripadvisor.com.vn/Attraction_Review-g293924-d12250848-Reviews-Huy_Hung_Gallery-Hanoi.html"
"1724168244-64","https://www.tripadvisor.com.vn/Attractions-g293924-Activities-c49-Hanoi.html","https://www.tripadvisor.com.vn/Attractions-g293924-Activities-c49-oa60-Hanoi.html","64. HeriTran Classic Cars Museum","https://www.tripadvisor.com.vn/Attraction_Review-g293924-d6223407-Reviews-HeriTran_Classic_Cars_Museum-Hanoi.html"
"1724168244-65","https://www.tripadvisor.com.vn/Attractions-g293924-Activities-c49-Hanoi.html","https://www.tripadvisor.com.vn/Attractions-g293924-Activities-c49-oa60-Hanoi.html","65. Mai Dich Childrens Villages","https://www.tripadvisor.com.vn/Attraction_Review-g293924-d3588496-Reviews-Mai_Dich_Childrens_Villages-Hanoi.html"
"1724168244-66","https://www.tripadvisor.com.vn/Attractions-g293924-Activities-c49-Hanoi.html","https://www.tripadvisor.com.vn/Attractions-g293924-Activities-c49-oa60-Hanoi.html","66. V-Art Space","https://www.tripadvisor.com.vn/Attraction_Review-g293924-d8090819-Reviews-V_Art_Space-Hanoi.html"
"1724168244-67","https://www.tripadvisor.com.vn/Attractions-g293924-Activities-c49-Hanoi.html","https://www.tripadvisor.com.vn/Attractions-g293924-Activities-c49-oa60-Hanoi.html","67. Zencoloart.studio","https://www.tripadvisor.com.vn/Attraction_Review-g293924-d26399050-Reviews-Zencoloart_studio-Hanoi.html"
"1724168244-68","https://www.tripadvisor.com.vn/Attractions-g293924-Activities-c49-Hanoi.html","https://www.tripadvisor.com.vn/Attractions-g293924-Activities-c49-oa60-Hanoi.html","68. Ink Tattoo Studio","https://www.tripadvisor.com.vn/Attraction_Review-g293924-d25241146-Reviews-Ink_Tattoo_Studio-Hanoi.html"
"1724168244-69","https://www.tripadvisor.com.vn/Attractions-g293924-Activities-c49-Hanoi.html","https://www.tripadvisor.com.vn/Attractions-g293924-Activities-c49-oa60-Hanoi.html","69. K S and Friends Art Gallery","https://www.tripadvisor.com.vn/Attraction_Review-g293924-d6701408-Reviews-K_S_and_Friends_Art_Gallery-Hanoi.html"
"1724168244-70","https://www.tripadvisor.com.vn/Attractions-g293924-Activities-c49-Hanoi.html","https://www.tripadvisor.com.vn/Attractions-g293924-Activities-c49-oa60-Hanoi.html","70. Life Drawing Hanoi","https://www.tripadvisor.com.vn/Attraction_Review-g293924-d10758336-Reviews-Life_Drawing_Hanoi-Hanoi.html"
"1724168244-71","https://www.tripadvisor.com.vn/Attractions-g293924-Activities-c49-Hanoi.html","https://www.tripadvisor.com.vn/Attractions-g293924-Activities-c49-oa60-Hanoi.html","71. MAI Gallery","https://www.tripadvisor.com.vn/Attraction_Review-g293924-d26352463-Reviews-MAI_Gallery-Hanoi.html"
"1724168244-72","https://www.tripadvisor.com.vn/Attractions-g293924-Activities-c49-Hanoi.html","https://www.tripadvisor.com.vn/Attractions-g293924-Activities-c49-oa60-Hanoi.html","72. Alive Museum","https://www.tripadvisor.com.vn/Attraction_Review-g293924-d13436834-Reviews-Alive_Museum-Hanoi.html"
"1724168244-73","https://www.tripadvisor.com.vn/Attractions-g293924-Activities-c49-Hanoi.html","https://www.tripadvisor.com.vn/Attractions-g293924-Activities-c49-oa60-Hanoi.html","73. Thanh Binh Gallery","https://www.tripadvisor.com.vn/Attraction_Review-g293924-d8099289-Reviews-Thanh_Binh_Gallery-Hanoi.html"
"1724168244-74","https://www.tripadvisor.com.vn/Attractions-g293924-Activities-c49-Hanoi.html","https://www.tripadvisor.com.vn/Attractions-g293924-Activities-c49-oa60-Hanoi.html","74. PI Auction House","https://www.tripadvisor.com.vn/Attraction_Review-g293924-d15292404-Reviews-PI_Auction_House-Hanoi.html"
"1724168244-75","https://www.tripadvisor.com.vn/Attractions-g293924-Activities-c49-Hanoi.html","https://www.tripadvisor.com.vn/Attractions-g293924-Activities-c49-oa60-Hanoi.html","75. Mai Gallery","https://www.tripadvisor.com.vn/Attraction_Review-g293924-d26356636-Reviews-Mai_Gallery-Hanoi.html"
"1724168244-76","https://www.tripadvisor.com.vn/Attractions-g293924-Activities-c49-Hanoi.html","https://www.tripadvisor.com.vn/Attractions-g293924-Activities-c49-oa60-Hanoi.html","76. MAM Art Projects","https://www.tripadvisor.com.vn/Attraction_Review-g293924-d6529522-Reviews-MAM_Art_Projects-Hanoi.html"
"1724168244-77","https://www.tripadvisor.com.vn/Attractions-g293924-Activities-c49-Hanoi.html","https://www.tripadvisor.com.vn/Attractions-g293924-Activities-c49-oa60-Hanoi.html","77. D&C Art Gallery","https://www.tripadvisor.com.vn/Attraction_Review-g293924-d13832990-Reviews-D_C_Art_Gallery-Hanoi.html"
"1724168244-78","https://www.tripadvisor.com.vn/Attractions-g293924-Activities-c49-Hanoi.html","https://www.tripadvisor.com.vn/Attractions-g293924-Activities-c49-oa60-Hanoi.html","78. Líu Lô Arts & Craft","https://www.tripadvisor.com.vn/Attraction_Review-g293924-d18114310-Reviews-Liu_Lo_Arts_Craft-Hanoi.html"
"1724168244-79","https://www.tripadvisor.com.vn/Attractions-g293924-Activities-c49-Hanoi.html","https://www.tripadvisor.com.vn/Attractions-g293924-Activities-c49-oa60-Hanoi.html","79. Ngoc Like Tattoo","https://www.tripadvisor.com.vn/Attraction_Review-g293924-d27453897-Reviews-Ngoc_Like_Tattoo-Hanoi.html"
"1724168244-80","https://www.tripadvisor.com.vn/Attractions-g293924-Activities-c49-Hanoi.html","https://www.tripadvisor.com.vn/Attractions-g293924-Activities-c49-oa60-Hanoi.html","80. D&c Art Gallery 17 Hang Gai","https://www.tripadvisor.com.vn/Attraction_Review-g293924-d27674683-Reviews-D_c_Art_Gallery_17_Hang_Gai-Hanoi.html"
"1724168244-81","https://www.tripadvisor.com.vn/Attractions-g293924-Activities-c49-Hanoi.html","https://www.tripadvisor.com.vn/Attractions-g293924-Activities-c49-oa60-Hanoi.html","81. Hanoi Design Centre","https://www.tripadvisor.com.vn/Attraction_Review-g293924-d8853770-Reviews-Hanoi_Design_Centre-Hanoi.html"
"1724168244-82","https://www.tripadvisor.com.vn/Attractions-g293924-Activities-c49-Hanoi.html","https://www.tripadvisor.com.vn/Attractions-g293924-Activities-c49-oa60-Hanoi.html","82. Vicas Art Studio","https://www.tripadvisor.com.vn/Attraction_Review-g293924-d13170221-Reviews-Vicas_Art_Studio-Hanoi.html"
"1724168244-83","https://www.tripadvisor.com.vn/Attractions-g293924-Activities-c49-Hanoi.html","https://www.tripadvisor.com.vn/Attractions-g293924-Activities-c49-oa60-Hanoi.html","83. 54 Traditions Gallery","https://www.tripadvisor.com.vn/Attraction_Review-g293924-d6941945-Reviews-54_Traditions_Gallery-Hanoi.html"
"1724168244-84","https://www.tripadvisor.com.vn/Attractions-g293924-Activities-c49-Hanoi.html","https://www.tripadvisor.com.vn/Attractions-g293924-Activities-c49-oa60-Hanoi.html","84. Nhà Triển lãm","https://www.tripadvisor.com.vn/Attraction_Review-g293924-d12339072-Reviews-Exhibition_House-Hanoi.html"
"1724168244-85","https://www.tripadvisor.com.vn/Attractions-g293924-Activities-c49-Hanoi.html","https://www.tripadvisor.com.vn/Attractions-g293924-Activities-c49-oa60-Hanoi.html","85. JESMEE Jewelry Store","https://www.tripadvisor.com.vn/Attraction_Review-g293924-d26694794-Reviews-JESMEE_Jewelry_Store-Hanoi.html"
"1724168244-86","https://www.tripadvisor.com.vn/Attractions-g293924-Activities-c49-Hanoi.html","https://www.tripadvisor.com.vn/Attractions-g293924-Activities-c49-oa60-Hanoi.html","86. The Airy Space","https://www.tripadvisor.com.vn/Attraction_Review-g293924-d27979082-Reviews-The_Airy_Space-Hanoi.html"
"1724168244-87","https://www.tripadvisor.com.vn/Attractions-g293924-Activities-c49-Hanoi.html","https://www.tripadvisor.com.vn/Attractions-g293924-Activities-c49-oa60-Hanoi.html","87. DC Art Gallary","https://www.tripadvisor.com.vn/Attraction_Review-g293924-d25395442-Reviews-DC_Art_Gallary-Hanoi.html"
"1724168244-88","https://www.tripadvisor.com.vn/Attractions-g293924-Activities-c49-Hanoi.html","https://www.tripadvisor.com.vn/Attractions-g293924-Activities-c49-oa60-Hanoi.html","88. Atena Gallery","https://www.tripadvisor.com.vn/Attraction_Review-g293924-d26309745-Reviews-Atena_Gallery-Hanoi.html"
"1724168244-89","https://www.tripadvisor.com.vn/Attractions-g293924-Activities-c49-Hanoi.html","https://www.tripadvisor.com.vn/Attractions-g293924-Activities-c49-oa60-Hanoi.html","89. Work Room Four","https://www.tripadvisor.com.vn/Attraction_Review-g293924-d7145468-Reviews-Work_Room_Four-Hanoi.html"
"1724168244-90","https://www.tripadvisor.com.vn/Attractions-g293924-Activities-c49-Hanoi.html","https://www.tripadvisor.com.vn/Attractions-g293924-Activities-c49-oa60-Hanoi.html","90. Area 75 - Art & Auction - 75 Hàng Bồ","https://www.tripadvisor.com.vn/Attraction_Review-g293924-d28031546-Reviews-Area_75_Art_Auction_75_Hang_B-Hanoi.html"
